url,rental,bedroom,bathroom,carpool,address
/property-house-wa-warwick-420754774,$570 per week,4,2,3,"15 Adela Place, Warwick, WA 6024"
/property-apartment-wa-north+perth-409751511,$350 per week,2,1,1,"16/22 Knutsford Street, North Perth, WA 6006"
/property-apartment-wa-north+perth-417339158,$220 per week,1,1,1,"36/3 Russell Avenue, North Perth, WA 6006"
/property-house-wa-perth-420757490,$380 per week,2,1,1,"12/378 Beaufort Street, Perth, WA 6000"
/property-house-wa-clarkson-420757202,$380.00,3,2,2,"3 Rathmines Street, Clarkson, WA 6030"
/property-townhouse-wa-victoria+park-420032506,,3,2,2,"1/48 Leonard Street, Victoria Park, WA 6100"
/property-house-wa-baldivis-420436390,$320 per week,3,2,2,"20 Bettong Street, Baldivis, WA 6171"
/property-house-wa-clarkson-420754366,$420.00 per week,4,2,2,"9 Yaroomba Place, Clarkson, WA 6030"
/property-house-wa-alkimos-420755334,$310.00,3,2,2,"9 Grasswren Way, Alkimos, WA 6038"
/property-unit-wa-perth-420755422,$400 per week,2,1,0,"14D/811 Hay Street, Perth, WA 6000"
/property-unit-wa-perth-420755218,$600 per week,3,2,1,"33/369 Hay Street, Perth, WA 6000"
/property-studio-wa-highgate-420755258,$340 per week,1,1,0,"17/500 Beaufort Street, Highgate, WA 6003"
/property-house-wa-hamilton+hill-419802946,$250,2,1,1,"11/30 Lorraine Place, Hamilton Hill, WA 6163"
/property-house-wa-st+james-420415278,$320 wk,3,1,1,"35/20 Alday Street, St James, WA 6102"
/property-house-wa-alkimos-420748274,$260.00 per week,2,1,1,"9 Sooty Lane, Alkimos, WA 6038"
/property-villa-wa-armadale-417019362,$250 per week,3,1,1,"Unit 5/75 Church Avenue, Armadale, WA 6112"
/property-apartment-wa-east+perth-420750778,$475 per week,2,2,1,"70/188 Adelaide Tce, East Perth, WA 6004"
/property-villa-wa-como-420747062,$370 per week,2,1,1,"2/52 Saunders Street, Como, WA 6152"
/property-house-wa-bedford-416192641,$400 per week,3,2,2,"228A Coode Street, Bedford, WA 6052"
/property-house-wa-meadow+springs-404854720,$350 per week,4,2,7,"37 Broadstone Vista, Meadow Springs, WA 6210"
/property-house-wa-dudley+park-420474178,$400 per week,4,2,2,"14 Nellie Green, Dudley Park, WA 6210"
/property-house-wa-meadow+springs-420511738,$380 per week,4,2,2,"6 Pine Court, Meadow Springs, WA 6210"
/property-house-wa-beechboro-420511774,$445 per week,4,2,1,"8 Welland Way, Beechboro, WA 6063"
/property-house-wa-girrawheen-420183694,$270 per week,3,3,1,"43 Casserley Avenue, Girrawheen, WA 6064"
/property-house-wa-beechboro-420473126,$375 per week,4,1,2,"10 Teviot Place, Beechboro, WA 6063"
/property-apartment-wa-rockingham-420590386,$340 per week,2,2,1,"10/12 Westralia Gardens, Rockingham, WA 6168"
/property-house-wa-canning+vale-419141502,$380 per week,4,2,4,"5 Formosa Pass, Canning Vale, WA 6155"
/property-house-wa-scarborough-420101770,$500 per week,3,2,2,"1/6 Rylston Street, Scarborough, WA 6019"
/property-apartment-wa-east+perth-420634102,$335 per week,1,1,1,"205/106 Terrace Road, East Perth, WA 6004"
/property-apartment-wa-east+perth-420747814,$500 per week,2,2,2,"107/131 Adelaide Tce, East Perth, WA 6004"
/property-house-wa-morley-420633970,$320 per week,3,1,2,"11 Holdhurst Way, Morley, WA 6062"
/property-house-wa-perth-420633958,$465 per week,2,2,2,"54/76 Newcastle Street, Perth, WA 6000"
/property-house-wa-rockingham-420157970,$295 wk,3,1,1,"8 Ricketts Court, Rockingham, WA 6168"
/property-apartment-wa-north+perth-419773926,$220 wk,1,1,1,"20/3 Russell Avenue, North Perth, WA 6006"
/property-villa-wa-como-420745866,$425 per week,3,1,1,"3/40 Eric Street, Como, WA 6152"
/property-house-wa-gosnells-420632474,$340 per week,3,1,1,"21 Webb Street, Gosnells, WA 6110"
/property-apartment-wa-east+perth-420082546,$475 per week,2,2,2,"6/14 Waterloo Crescent, East Perth, WA 6004"
/property-apartment-wa-east+perth-416530753,UNDER APPLICATION!,2,2,1,"506/2 Moreau Pde, East Perth, WA 6004"
/property-apartment-wa-currambine-409602695,$305 per week,3,2,1,"2/5 Eastleigh Loop, Currambine, WA 6028"
/property-house-wa-merriwa-420743606,$330.00 per week,3,2,1,"8 Kalix Elbow, Merriwa, WA 6030"
/property-villa-wa-balga-420654430,$350 Per Week,3,2,2,"45C  Barlow  Way, Balga, WA 6061"
/property-villa-wa-scarborough-420480614,$340per week,2,1,1,"6/24 Hastings St, Scarborough, WA 6019"
/property-unit-wa-scarborough-420513190,$290.00 per week,2,1,1,"36/75 Stanley Street, Scarborough, WA 6019"
/property-apartment-wa-west+perth-420601886,$450 Weekly,2,1,1,"126/996 Hay Street, West Perth, WA 6005"
/property-townhouse-wa-fremantle-404130825,$530 per week,3,2,2,"13/88 Hampton  Road, Fremantle, WA 6160"
/property-house-wa-midland-411841191,$300 p/w WALK TO SHOPS!,3,2,1,"Unit 5/63 The Crescent, Midland, WA 6056"
/property-apartment-wa-perth-420741154,$700 per week,2,2,1,"1707/237 Adelaide Terrace, Perth, WA 6000"
/property-villa-wa-south+perth-405457956,$285 per week,2,1,1,"3/23 Strickland Street, South Perth, WA 6151"
/property-apartment-wa-east+perth-420738118,$850 per week,3,2,2,"1107/108 Terrace Road, East Perth, WA 6004"
/property-house-wa-ballajura-420469774,$320 per week,3,1,1,"33 Kingfisher Ave, Ballajura, WA 6066"
/property-apartment-wa-subiaco-420738090,$260 per week,1,1,1,"109/124 Subiaco Road, Subiaco, WA 6008"
/property-unit-wa-west+perth-420016282,$410,2,2,1,"18/48 Havelock Street, West Perth, WA 6005"
/property-unit-wa-perth-420737326,$210 per week,1,1,0,"21/122 Terrace Rd, Perth, WA 6000"
/property-apartment-wa-perth-420737190,$595 per week,2,2,1,"165/471 Hay Street, Perth, WA 6000"
/property-house-wa-scarborough-417406114,$725 per week,4,2,2,"3/356 West Coast Highway, Scarborough, WA 6019"
/property-apartment-wa-east+perth-414824827,$595 per week,3,2,2,"1/32 Fielder Street, East Perth, WA 6004"
/property-house-wa-mount+hawthorn-420506186,$650 per week,3,2,2,"50B Milton Street, Mount Hawthorn, WA 6016"
/property-house-wa-ellenbrook-420695710,$370 per week,4,2,2,"55 Parnham Street, Ellenbrook, WA 6069"
/property-house-wa-butler-420734086,$450.00 per week,4,2,2,"2 Larkhall Way, Butler, WA 6036"
/property-house-wa-mount+hawthorn-420440934,$620 per week,4,2,2,"28a,b Brady Street, Mount Hawthorn, WA 6016"
/property-house-wa-north+fremantle-417856042,$550 per week,2,2,1,"14/14 Lime Street, North Fremantle, WA 6159"
/property-house-wa-applecross-420731022,$700,3,2,0,"33 Reynolds Road, Applecross, WA 6153"
/property-townhouse-wa-viveash-420491442,$360 per week,3,2,2,"40/45 Elvire St, Viveash, WA 6056"
/property-house-wa-morley-420727826,$430 per week,3,2,2,"43 Bath Road, Morley, WA 6062"
/property-house-wa-dayton-420727814,$400 per week,4,2,2,"12 Monica Crescent, Dayton, WA 6055"
/property-house-wa-quinns+rocks-420727606,$420 per week,4,2,2,"5 Yorlor Way, Quinns Rocks, WA 6030"
/property-apartment-wa-east+perth-420727566,$350 per week,2,1,1,"16/55 Wellington Street, East Perth, WA 6004"
/property-house-wa-mosman+park-420703534,$950 per week,4,2,2,"17 Somerset Crescent, Mosman Park, WA 6012"
/property-apartment-wa-perth-419445542,$625 per week,3,2,2,"191/369 Hay Street, Perth, WA 6000"
/property-house-wa-morley-420240082,$310 per week,3,1,1,"457 Morley Drive, Morley, WA 6062"
/property-house-wa-cannington-420379918,$410 per week,4,2,2,"15 Weetman Cove, Cannington, WA 6107"
/property-apartment-wa-east+perth-420725946,$650 per week,3,3,2,"3/34 Kensington Street, East Perth, WA 6004"
/property-apartment-wa-scarborough-413868787,$550 per week,1,1,1,"2/5 Reserve Street, Scarborough, WA 6019"
/property-house-wa-shoalwater-420723086,$600 per week,4,4,4,"51 Fourth Avenue, Shoalwater, WA 6169"
/property-house-wa-duncraig-420215198,$350 per week,3,1,1,"21 Glengarry Drive, Duncraig, WA 6023"
/property-villa-wa-midland-415726871,$280 per week,3,1,2,"1/5 Charles East Street, Midland, WA 6056"
/property-villa-wa-como-420538410,$460 per week,3,2,2,"2/147 Robert Street, Como, WA 6152"
/property-unit-wa-west+perth-420716010,$850,3,2,1,"5/58 Kings Park Road, West Perth, WA 6005"
/property-unit-wa-scarborough-420674338,$280 per week,1,1,1,"2/63 Stanley Street, Scarborough, WA 6019"
/property-house-wa-caversham-420123594,$340 per week,3,2,2,"10 Cheyne Way, Caversham, WA 6055"
/property-apartment-wa-applecross-420211834,$675 per week,3,2,2,"5/7 First Ave, Applecross, WA 6153"
/property-house-wa-langford-420613558,$250 per week,3,1,1,"7 Boxley Place, Langford, WA 6147"
/property-apartment-wa-east+perth-420427878,$640 per week,2,1,2,"10/100 Terrace Road, East Perth, WA 6004"
/property-house-wa-wandi-416793945,$375 per week,4,2,2,"15 Bindarri Grove, Wandi, WA 6167"
/property-house-wa-coolbellup-420464246,$330 per week,2,1,1,"121b Winterfold Road, Coolbellup, WA 6163"
/property-apartment-wa-maylands-420611790,$270 per week,2,1,1,"30/1 Rupert Street, Maylands, WA 6051"
/property-apartment-wa-east+perth-416874986,$550 per week,2,1,1,"711/8 Adelaide Terrace, East Perth, WA 6004"
/property-apartment-wa-west+perth-420611110,$330 per week,2,1,1,"35/147 Charles Street, West Perth, WA 6005"
/property-apartment-wa-perth-420611106,$350 per week,1,1,1,"7/315 Bulwer Street, Perth, WA 6000"
/property-apartment-wa-perth-420524266,$450 per week,2,2,1,"G505/2 St Georges Terrace, Perth, WA 6000"
/property-house-wa-beechboro-420467474,$380 per week,4,2,2,"33A Rosmead Avenue, Beechboro, WA 6063"
/property-apartment-wa-joondalup-420249870,$320 per week,2,2,2,"15C/17 Shenton Avenue, Joondalup, WA 6027"
/property-house-wa-wembley+downs-420715538,"$1,200 per week",5,2,3,"70 Empire Avenue, Wembley Downs, WA 6019"
/property-villa-wa-osborne+park-407179656,$340 per week,2,1,1,"4/96 Albert Street, Osborne Park, WA 6017"
/property-house-wa-kingsley-420604058,LEASED - NEW TENANT APPROVED BY OWNER,4,2,3,"3 Catrine Court, Kingsley, WA 6026"
/property-apartment-wa-scarborough-414419783,$420 per week,1,1,1,"15a/29 Hastings, Scarborough, WA 6019"
/property-villa-wa-como-409745883,$360 per week,2,1,2,"4/38 Saunders Street, Como, WA 6152"
/property-house-wa-carlisle-420481874,$380 per week,3,1,2,"6 Satellite Place, Carlisle, WA 6101"
/property-house-wa-beechboro-420716150,$330 per week,3,1,2,"13 Danube Ave, Beechboro, WA 6063"
/property-townhouse-wa-nedlands-420716098,$475 per week,2,1,1,"3/109 Broadway, Nedlands, WA 6009"
/property-apartment-wa-northbridge-420705578,$470 per week,2,2,1,"42/134 Aberdeen Street, Northbridge, WA 6003"
/property-house-wa-dianella-420264698,$290 per week,3,1,4,"6 Edge Place, Dianella, WA 6059"
/property-townhouse-wa-cloverdale-420333974,$350 per week,3,2,2,"1/363 Hardey Road, Cloverdale, WA 6105"
/property-house-wa-karrinyup-420601090,$530 per week,4,1,4,"129 Milverton Avenue, Karrinyup, WA 6018"
/property-house-wa-balga-417215550,$250 per week,3,1,3,"17 Rochester Circle, Balga, WA 6061"
/property-apartment-wa-west+perth-420601022,$440 per week,3,2,1,"38/1 Carr St, West Perth, WA 6005"
/property-house-wa-connolly-418061114,$350 per week,3,1,1,"11B  Mission Hills Place, Connolly, WA 6027"
/property-house-wa-kelmscott-415060459,$250 per week,3,1,2,"18 Tamarind Crescent, Kelmscott, WA 6111"
/property-apartment-wa-midland-420715534,$310 per week,1,1,1,"70/21 Foundry Road, Midland, WA 6056"
/property-house-wa-brookdale-412316867,$275 per week,3,1,1,"65 Bodicoat Drive, Brookdale, WA 6112"
/property-house-wa-armadale-412537955,$220 per week,2,1,1,"Unit 25/14 Coralie Court, Armadale, WA 6112"
/property-house-wa-clarkson-420287914,$375.00 per week,4,2,2,"14 Ridglea Link, Clarkson, WA 6030"
/property-house-wa-redcliffe-420712778,$445 per week,4,2,1,"11 Kinghorn Place, Redcliffe, WA 6104"
/property-apartment-wa-midland-420226602,$350 + 1 WEEKS FREE RENT,2,2,1,"56/21 Foundry Road, Midland, WA 6056"
/property-apartment-wa-midland-420226378,$320 + 1 WEEKS FREE RENT,2,2,1,"11/21 Foundry Road, Midland, WA 6056"
/property-apartment-wa-cannington-420598914,$400,2,2,1,"V204/58 Grose Avenue, Cannington, WA 6107"
/property-house-wa-perth-420712590,$585 per week,3,2,2,"130 Glendower Street, Perth, WA 6000"
/property-house-wa-canning+vale-419626794,$370,3,2,2,"34 Pentland Street, Canning Vale, WA 6155"
/property-house-wa-beechboro-420712386,$400 per week,4,2,1,"9 Maranon Crescent, Beechboro, WA 6063"
/property-house-wa-kelmscott-413357171,$260 per week,3,1,2,"Unit 1 / 24 Willowmead Way, Kelmscott, WA 6111"
/property-unit-wa-wembley-420106906,$290 per week,2,1,1,"35/59 Herdsman Parade, Wembley, WA 6014"
/property-villa-wa-east+victoria+park-420471846,$330 per week,3,1,2,"3/115 Bank Street, East Victoria Park, WA 6101"
/property-villa-wa-east+victoria+park-420226470,$330 per week,3,1,1,"3/53 Beatty Avenue, East Victoria Park, WA 6101"
/property-unit-wa-south+perth-405008788,$330 per week,2,1,1,"2/181 Mill Point Road, South Perth, WA 6151"
/property-unit-wa-crawley-414448211,$385 per week,2,1,1,"7/9 Everett Street, Crawley, WA 6009"
/property-house-wa-gosnells-420526678,$250 per week,3,1,2,"4 Terence Street, Gosnells, WA 6110"
/property-house-wa-bentley-420324610,$360 per week,4,2,2,"97 Chapman Road, Bentley, WA 6102"
/property-house-wa-byford-420423950,$355 per week,4,2,4,"14 Cranbourne St, Byford, WA 6122"
/property-apartment-wa-perth-414738327,$460 per week,1,1,1,"100/101 Murray Street, Perth, WA 6000"
/property-apartment-wa-perth-419247754,$360 per week,3,1,1,"8/298-300 Stirling Street, Perth, WA 6000"
/property-apartment-wa-wembley+downs-414709967,$580 per week,3,2,2,"4/25 Bournemouth Crescent, Wembley Downs, WA..."
/property-villa-wa-osborne+park-420418738,$290,2,1,1,"19/201 Albert Street, Osborne Park, WA 6017"
/property-villa-wa-scarborough-415099151,$420 per week,3,1,2,"5/10 Helmsley Street, Scarborough, WA 6019"
/property-apartment-wa-south+perth-414648467,$370 per week,1,1,1,"7/23 Bowman Street, South Perth, WA 6151"
/property-unit-wa-doubleview-410640263,$280 per week,1,1,1,"14/227 Scarborough Beach Road, Doubleview, WA..."
/property-duplex+semi+detached-wa-victoria+park-405258992,$290 per week,2,1,1,"50a Colombo Street, Victoria Park, WA 6100"
/property-apartment-wa-west+perth-416403933,$530 per week,2,2,1,"25/6 Campbell St, West Perth, WA 6005"
/property-apartment-wa-perth-412965995,$580 per week,2,2,1,"12/69 Milligan Street, Perth, WA 6000"
/property-apartment-wa-perth-412160263,$500 per week,2,2,1,"71/101 Murray Street, Perth, WA 6000"
/property-unit-wa-perth-409322011,**UNDER APPLICATION**,1,1,0,"1005/305 Murray Street, Perth, WA 6000"
/property-house-wa-alkimos-420590778,$295.00 per week,3,2,2,"56 Zodiac Drive, Alkimos, WA 6038"
/property-house-wa-joondalup-415170359,$350 per week,3,1,2,"25 Abitibi Turn, Joondalup, WA 6027"
/property-house-wa-langford-420705666,$250 per week,3,1,2,"40 Norbury Way, Langford, WA 6147"
/property-house-wa-dalkeith-420590618,$950 per week,4,2,2,"2 Minora Road, Dalkeith, WA 6009"
/property-townhouse-wa-maylands-420590670,$350 per week,3,1,1,"5/6 Mt Prospect Place, Maylands, WA 6051"
/property-house-wa-willetton-414545915,$380 per week,4,2,2,"100 Burrendah Boulevard, Willetton, WA 6155"
/property-villa-wa-dianella-403626471,$285 per week,2,1,1,"4/15 Chester Avenue, Dianella, WA 6059"
/property-apartment-wa-victoria+park-420705406,$360 per week,2,1,1,"7/8 King George Street, Victoria Park, WA 6100"
/property-house-wa-karawara-420705398,$550 per week,4,2,2,"38 Lowan Loop, Karawara, WA 6152"
/property-house-wa-maylands-413042487,$465 per week,3,2,2,"10/23 Cox Street, Maylands, WA 6051"
/property-townhouse-wa-belmont-420705358,$400 per week,3,2,3,"29/68 Fisher Street, Belmont, WA 6104"
/property-house-wa-victoria+park-4966751,$330 - 1 WEEK FREE TO SUCCESSFUL APPLICANT,3,1,2,"41A Sunbury Road, Victoria Park, WA 6100"
/property-townhouse-wa-burswood-404452863,$700 per week,3,3,2,"24 Bow River Crescent, Burswood, WA 6100"
/property-unit-wa-south+perth-401057350,$300 per week,2,1,1,"8/5 Brookside Avenue, South Perth, WA 6151"
/property-house-wa-south+perth-401801562,$360 per week,2,1,1,"19 Westbury Avenue, South Perth, WA 6151"
/property-unit-wa-south+perth-403180098,$265 - 1 WEEK FREE RENT TO SUCCESSFUL APPLICANT,2,1,1,"5/19 Delamere Avenue, South Perth, WA 6151"
/property-villa-wa-bentley-416841870,$295 per week,3,1,1,"5/2a Isobel Street, Bentley, WA 6102"
/property-house-wa-alkimos-420056010,$260 per week,3,2,2,"21 Holystone Lane, Alkimos, WA 6038"
/property-unit-wa-rockingham-420533170,$300 wk,3,2,3,"5/7 Fisher Street, Rockingham, WA 6168"
/property-apartment-wa-east+perth-420587754,$425 per week,2,2,1,"7/7-9 Bennett Street, East Perth, WA 6004"
/property-house-wa-alkimos-420702258,$270.00 per week,3,2,2,"405 Shorehaven Boulevard, Alkimos, WA 6038"
/property-house-wa-applecross-411901231,"$1,000 per week",6,3,4,"5 Tuart Street, Applecross, WA 6153"
/property-house-wa-tuart+hill-419852150,$510 per week,4,2,2,"252D Cape Street, Tuart Hill, WA 6060"
/property-house-wa-aveley-420448338,$300 wk,3,2,2,"2/41 Bellazario Promenade, Aveley, WA 6069"
/property-apartment-wa-nedlands-420586246,$485 per week,2,2,1,"5/89 Winthrop Ave, Nedlands, WA 6009"
/property-villa-wa-como-417510962,$300 per week,2,1,1,"7/96 Edgecumbe Street, Como, WA 6152"
/property-apartment-wa-perth-420701470,$450 per week,2,2,2,"21/226 Beaufort Street, Perth, WA 6000"
/property-unit-wa-doubleview-412731095,$420 per week,3,1,2,"1/111 Ewen Street, Doubleview, WA 6018"
/property-townhouse-wa-scarborough-420584682,$650 per week,3,2,2,"2/15 Nautalis Crescent, Scarborough, WA 6019"
/property-apartment-wa-perth-418329974,$410 per week,1,1,1,"16/369 Hay Street, Perth, WA 6000"
/property-house-wa-inglewood-420419802,$360 per week,3,1,1,"327A Crawford Road, Inglewood, WA 6052"
/property-apartment-wa-south+perth-409971023,$300 per week,1,1,1,"35/16 Hensman Street, South Perth, WA 6151"
/property-house-wa-kingsley-420142074,$360 Per Week,4,1,1,"83 Kingsley Drive, Kingsley, WA 6026"
/property-house-wa-como-420694258,$420 per week,3,1,2,"1/309 Canning Highway, Como, WA 6152"
/property-house-wa-canning+vale-420393234,$340 per week,3,2,1,"1 Hambly Crescent, Canning Vale, WA 6155"
/property-villa-wa-balga-420371734,$310 per week,3,2,2,"2/2b Chailey Place, Balga, WA 6061"
/property-apartment-wa-east+perth-420580862,$450 per week,2,2,1,"6/32 Eastbrook Terrace, East Perth, WA 6004"
/property-apartment-wa-midland-420580758,$410 per week,2,1,1,"59/21 Foundry Road, Midland, WA 6056"
/property-apartment-wa-midland-420580714,$440 per week,2,2,1,"34/21 Foundry Road, Midland, WA 6056"
/property-apartment-wa-east+perth-411341663,$530 per week,2,2,1,"14/148 Adelaide Terrace, East Perth, WA 6004"
